"","m","nu","lambda","alpha","theoretical_var","envelope_1","envelope_3","envelope_4","envelope_5","diff_1","diff_3","diff_4","diff_5"
"114",4.4,-3.88888888888889,-3.88888888888889,0.1,0.00228804202922248,0.00154812677587378,0.00152730264203748,0.00151007862759503,0.00219124535745088,-0.0007399152533487,-0.000760739387185,-0.00077796340162745,-9.67966717715998e-05
"115",5.33333333333333,-3.88888888888889,-3.88888888888889,0.1,0.00156697538804562,0.00117080328818474,0.00117687994205153,0.00116149875509358,0.00181938410412157,-0.00039617209986088,-0.00039009544599409,-0.00040547663295204,0.00025240871607595
"116",6.26666666666667,-3.88888888888889,-3.88888888888889,0.1,0.00119193083261342,0.000948087535757771,0.00096704795966392,0.000947059103218181,0.00126635625051935,-0.000243843296855649,-0.0002248828729495,-0.000244871729395239,7.44254179059301e-05
"117",7.2,-3.88888888888889,-3.88888888888889,0.1,0.000963471534529339,0.000797867765333685,0.00081120249139798,0.00078793692416137,0.000980641592511649,-0.000165603769195654,-0.000152269043131359,-0.000175534610367969,1.71700579823101e-05
"118",8.13333333333333,-3.88888888888889,-3.88888888888889,0.1,0.000809776090982762,0.000685120044819845,0.000694715237144505,0.0006914404703156,0.000973024507840376,-0.000124656046162917,-0.000115060853838257,-0.000118335620667162,0.000163248416857614
"119",9.06666666666667,-3.88888888888889,-3.88888888888889,0.1,0.00069918738449074,0.000611375117507624,0.00061313556983114,0.00061604598579243,0.000726084196145727,-8.7812266983116e-05,-8.60518146596001e-05,-8.31413986983101e-05,2.6896811654987e-05
"120",10,-3.88888888888889,-3.88888888888889,0.1,0.00061569255045411,0.000549287665248017,0.000545034063186217,0.000551549714372391,0.00064586290055841,-6.64048852060929e-05,-7.06584872678929e-05,-6.41428360817189e-05,3.01703501043001e-05
"121",1.6,-2.77777777777778,-3.88888888888889,0.1,0.317918381344307,0.00827795361216591,0.0080874560434399,0.00833601072284745,0.0945764945658416,-0.309640427732141,-0.309830925300867,-0.30958237062146,-0.223341886778465
"122",2.53333333333333,-2.77777777777778,-3.88888888888889,0.1,0.00880871801126085,0.0032014773627962,0.00324951756777388,0.00308648986383713,0.0102697443614467,-0.00560724064846465,-0.00555920044348697,-0.00572222814742372,0.00146102635018585
"123",3.46666666666667,-2.77777777777778,-3.88888888888889,0.1,0.00334840681267617,0.0019983235041901,0.00194865047192825,0.00195955558317149,0.00324625302365081,-0.00135008330848607,-0.00139975634074792,-0.00138885122950468,-0.00010215378902536
