"","m","nu","lambda","alpha","envelope_1","envelope_3","envelope_4","envelope_5"
"226",6.26666666666667,-2.77777777777778,-2.77777777777778,0.1,0.21439,0.33088,0.20447,0.01803
"227",7.2,-2.77777777777778,-2.77777777777778,0.1,0.20205,0.3129,0.19607,0.01753
"228",8.13333333333333,-2.77777777777778,-2.77777777777778,0.1,0.19042,0.29777,0.18464,0.01636
"229",9.06666666666667,-2.77777777777778,-2.77777777777778,0.1,0.18143,0.28373,0.17884,0.01613
"230",10,-2.77777777777778,-2.77777777777778,0.1,0.17294,0.27148,0.1718,0.01603
"231",1.6,-1.66666666666667,-2.77777777777778,0.1,0.37317,0.49764,0.22384,0.12749
"232",2.53333333333333,-1.66666666666667,-2.77777777777778,0.1,0.32062,0.47521,0.27593,0.1018
"233",3.46666666666667,-1.66666666666667,-2.77777777777778,0.1,0.28369,0.43331,0.26341,0.09207
"234",4.4,-1.66666666666667,-2.77777777777778,0.1,0.25568,0.39803,0.24752,0.08697
"235",5.33333333333333,-1.66666666666667,-2.77777777777778,0.1,0.23364,0.36677,0.23002,0.08376
"236",6.26666666666667,-1.66666666666667,-2.77777777777778,0.1,0.21692,0.34156,0.2128,0.08359
"237",7.2,-1.66666666666667,-2.77777777777778,0.1,0.20333,0.31991,0.20059,0.08169
"238",8.13333333333333,-1.66666666666667,-2.77777777777778,0.1,0.1917,0.30228,0.18901,0.08075
"239",9.06666666666667,-1.66666666666667,-2.77777777777778,0.1,0.18202,0.28721,0.18162,0.07899
"240",10,-1.66666666666667,-2.77777777777778,0.1,0.17346,0.27453,0.17283,0.07846
"241",1.6,-0.555555555555555,-2.77777777777778,0.1,0.40697,0.62622,0.37908,0.44728
"242",2.53333333333333,-0.555555555555555,-2.77777777777778,0.1,0.33567,0.52346,0.3299,0.43302
"243",3.46666666666667,-0.555555555555555,-2.77777777777778,0.1,0.29056,0.45548,0.28951,0.42873
"244",4.4,-0.555555555555555,-2.77777777777778,0.1,0.25914,0.40816,0.25953,0.42502
"245",5.33333333333333,-0.555555555555555,-2.77777777777778,0.1,0.23637,0.37235,0.23903,0.42502
"246",6.26666666666667,-0.555555555555555,-2.77777777777778,0.1,0.21922,0.34561,0.22113,0.42417
"247",7.2,-0.555555555555555,-2.77777777777778,0.1,0.20485,0.32401,0.20516,0.42339
"248",8.13333333333333,-0.555555555555555,-2.77777777777778,0.1,0.19285,0.30606,0.19208,0.4221
"249",9.06666666666667,-0.555555555555555,-2.77777777777778,0.1,0.18294,0.2898,0.18599,0.42171
"250",10,-0.555555555555555,-2.77777777777778,0.1,0.17463,0.2764,0.17628,0.42128
"251",1.6,0.555555555555555,-2.77777777777778,0.1,0.40817,0.62815,0.37799,0.44702
"252",2.53333333333333,0.555555555555555,-2.77777777777778,0.1,0.33466,0.52348,0.3289,0.43299
"253",3.46666666666667,0.555555555555555,-2.77777777777778,0.1,0.29112,0.45581,0.28882,0.42972
"254",4.4,0.555555555555555,-2.77777777777778,0.1,0.26039,0.40888,0.26002,0.42543
"255",5.33333333333333,0.555555555555555,-2.77777777777778,0.1,0.2378,0.37417,0.2354,0.4254
"256",6.26666666666667,0.555555555555555,-2.77777777777778,0.1,0.2194,0.34674,0.21956,0.42414
"257",7.2,0.555555555555555,-2.77777777777778,0.1,0.2056,0.32447,0.20713,0.42264
"258",8.13333333333333,0.555555555555555,-2.77777777777778,0.1,0.19392,0.3057,0.19235,0.42208
"259",9.06666666666667,0.555555555555555,-2.77777777777778,0.1,0.18383,0.29078,0.18631,0.42067
"260",10,0.555555555555555,-2.77777777777778,0.1,0.17542,0.27731,0.17596,0.42123
"261",1.6,1.66666666666667,-2.77777777777778,0.1,0.37316,0.50227,0.22426,0.12784
"262",2.53333333333333,1.66666666666667,-2.77777777777778,0.1,0.32117,0.47768,0.27509,0.10218
"263",3.46666666666667,1.66666666666667,-2.77777777777778,0.1,0.2834,0.43305,0.26377,0.09143
"264",4.4,1.66666666666667,-2.77777777777778,0.1,0.25687,0.39596,0.24521,0.08846
"265",5.33333333333333,1.66666666666667,-2.77777777777778,0.1,0.23567,0.36542,0.22778,0.08432
"266",6.26666666666667,1.66666666666667,-2.77777777777778,0.1,0.21912,0.34127,0.21373,0.08282
"267",7.2,1.66666666666667,-2.77777777777778,0.1,0.20455,0.32125,0.20177,0.08185
"268",8.13333333333333,1.66666666666667,-2.77777777777778,0.1,0.19292,0.30345,0.19108,0.08113
"269",9.06666666666667,1.66666666666667,-2.77777777777778,0.1,0.18267,0.28895,0.18121,0.08009
"270",10,1.66666666666667,-2.77777777777778,0.1,0.17455,0.27563,0.17338,0.0787
"271",1.6,2.77777777777778,-2.77777777777778,0.1,0.32369,0.35838,0.11604,0.05268
"272",2.53333333333333,2.77777777777778,-2.77777777777778,0.1,0.30008,0.40694,0.20305,0.0303
"273",3.46666666666667,2.77777777777778,-2.77777777777778,0.1,0.27306,0.39667,0.22484,0.02429
"274",4.4,2.77777777777778,-2.77777777777778,0.1,0.24959,0.37457,0.22028,0.02065
"275",5.33333333333333,2.77777777777778,-2.77777777777778,0.1,0.23075,0.35204,0.21447,0.01889
"276",6.26666666666667,2.77777777777778,-2.77777777777778,0.1,0.21491,0.33101,0.20751,0.01756
"277",7.2,2.77777777777778,-2.77777777777778,0.1,0.20216,0.31319,0.19397,0.01668
"278",8.13333333333333,2.77777777777778,-2.77777777777778,0.1,0.19129,0.29819,0.18708,0.01692
"279",9.06666666666667,2.77777777777778,-2.77777777777778,0.1,0.18173,0.28467,0.17724,0.01627
"280",10,2.77777777777778,-2.77777777777778,0.1,0.17337,0.27205,0.1712,0.01578
"281",1.6,3.88888888888889,-2.77777777777778,0.1,0.27834,0.25007,0.06221,0.02723
"282",2.53333333333333,3.88888888888889,-2.77777777777778,0.1,0.27288,0.33097,0.14076,0.01163
"283",3.46666666666667,3.88888888888889,-2.77777777777778,0.1,0.25696,0.34994,0.17968,0.0076
"284",4.4,3.88888888888889,-2.77777777777778,0.1,0.2396,0.34463,0.19164,0.00551
"285",5.33333333333333,3.88888888888889,-2.77777777777778,0.1,0.22456,0.33114,0.19232,0.00481
"286",6.26666666666667,3.88888888888889,-2.77777777777778,0.1,0.21044,0.3172,0.19226,0.00436
"287",7.2,3.88888888888889,-2.77777777777778,0.1,0.19875,0.30286,0.18584,0.00421
"288",8.13333333333333,3.88888888888889,-2.77777777777778,0.1,0.18852,0.28894,0.17846,0.00386
"289",9.06666666666667,3.88888888888889,-2.77777777777778,0.1,0.17959,0.27787,0.17121,0.00356
